run	sample	run_label
24f201_DIA_HeLa_400ng_01	HeLa	HeLa_400ng_01
24f201_DIA_HeLa_400ng_02	HeLa	HeLa_400ng_02
24f201_DIA_NCI_01	A549	NCI_01
24f201_DIA_NCI_02	A549	NCI_02
24f201_DIA_NCI_03	CCRFCEM	NCI_03
24f201_DIA_NCI_04	CCRFCEM	NCI_04
24f201_DIA_NCI_05	COLO205	NCI_05
24f201_DIA_NCI_06	COLO205	NCI_06
24f201_DIA_NCI_07	H226	NCI_07
24f201_DIA_NCI_08	H226	NCI_08
24f201_DIA_NCI_09	H23	NCI_09
24f201_DIA_NCI_10	H23	NCI_10
24f201_DIA_NCI_11	RPMI8226	NCI_11
24f201_DIA_NCI_12	RPMI8226	NCI_12
24f201_DIA_NCI_13	T47D	NCI_13
24f201_DIA_NCI_14	T47D	NCI_14
24f201_DIA_NCI_15	4pool	NCI_15
24f201_DIA_NCI_16	4pool	NCI_16
24f201_DIA_NCI_17	NCI7ref	NCI_17
24f201_DIA_NCI_18	NCI7ref	NCI_18
