run	sample	run_label
J-PDX0009_1	J-PDX0009	J-PDX0009_1
J-PDX0009_2	J-PDX0009	J-PDX0009_2
J-PDX0013_1	J-PDX0013	J-PDX0013_1
J-PDX0013_2	J-PDX0013	J-PDX0013_2
J-PDX0065_1	J-PDX0065	J-PDX0065_1
J-PDX0065_2	J-PDX0065	J-PDX0065_2
J-PDX0079_1	J-PDX0079	J-PDX0079_1
J-PDX0079_2	J-PDX0079	J-PDX0079_2
J-PDX0083_1	J-PDX0083	J-PDX0083_1
J-PDX0083_2	J-PDX0083	J-PDX0083_2
J-PDX0093_1	J-PDX0093	J-PDX0093_1
J-PDX0093_2	J-PDX0093	J-PDX0093_2
J-PDX0095_1	J-PDX0095	J-PDX0095_1
J-PDX0095_2	J-PDX0095	J-PDX0095_2
J-PDX0175_1	J-PDX0175	J-PDX0175_1
J-PDX0175_2	J-PDX0175	J-PDX0175_2
J-PDX0207_1	J-PDX0207	J-PDX0207_1
J-PDX0207_2	J-PDX0207	J-PDX0207_2
J-PDX0220_1	J-PDX0220	J-PDX0220_1
J-PDX0220_2	J-PDX0220	J-PDX0220_2
J-PDX0224_1	J-PDX0224	J-PDX0224_1
J-PDX0224_2	J-PDX0224	J-PDX0224_2
J-PDX0263_1	J-PDX0263	J-PDX0263_1
J-PDX0263_2	J-PDX0263	J-PDX0263_2
J-PDX0270_1	J-PDX0270	J-PDX0270_1
J-PDX0270_2	J-PDX0270	J-PDX0270_2
J-PDX0277_1	J-PDX0277	J-PDX0277_1
J-PDX0277_2	J-PDX0277	J-PDX0277_2
J-PDX0282_1	J-PDX0282	J-PDX0282_1
J-PDX0282_2	J-PDX0282	J-PDX0282_2
J-PDX0326_1	J-PDX0326	J-PDX0326_1
J-PDX0326_2	J-PDX0326	J-PDX0326_2
J-PDX0334_1	J-PDX0334	J-PDX0334_1
J-PDX0334_2	J-PDX0334	J-PDX0334_2
J-PDX0360_1	J-PDX0360	J-PDX0360_1
J-PDX0360_2	J-PDX0360	J-PDX0360_2
J-PDX0381_1	J-PDX0381	J-PDX0381_1
J-PDX0381_2	J-PDX0381	J-PDX0381_2
J-PDX0387_1	J-PDX0387	J-PDX0387_1
J-PDX0387_2	J-PDX0387	J-PDX0387_2
J-PDX0438_1	J-PDX0438	J-PDX0438_1
J-PDX0438_2	J-PDX0438	J-PDX0438_2
J-PDX0454_1	J-PDX0454	J-PDX0454_1
J-PDX0454_2	J-PDX0454	J-PDX0454_2
J-PDX0464_1	J-PDX0464	J-PDX0464_1
J-PDX0464_2	J-PDX0464	J-PDX0464_2
J-PDX0560_1	J-PDX0560	J-PDX0560_1
J-PDX0560_2	J-PDX0560	J-PDX0560_2
J-PDX0587_1	J-PDX0587	J-PDX0587_1
J-PDX0587_2	J-PDX0587	J-PDX0587_2
J-PDX0590_1	J-PDX0590	J-PDX0590_1
J-PDX0590_2	J-PDX0590	J-PDX0590_2
J-PDX0591_1	J-PDX0591	J-PDX0591_1
J-PDX0591_2	J-PDX0591	J-PDX0591_2
J-PDX0596_1	J-PDX0596	J-PDX0596_1
J-PDX0596_2	J-PDX0596	J-PDX0596_2
J-PDX0598_1	J-PDX0598	J-PDX0598_1
J-PDX0598_2	J-PDX0598	J-PDX0598_2
J-PDX0667_1	J-PDX0667	J-PDX0667_1
J-PDX0667_2	J-PDX0667	J-PDX0667_2
J-PDX0747_1	J-PDX0747	J-PDX0747_1
J-PDX0747_2	J-PDX0747	J-PDX0747_2
J-PDX0769_1	J-PDX0769	J-PDX0769_1
J-PDX0769_2	J-PDX0769	J-PDX0769_2
J-PDX0775_1	J-PDX0775	J-PDX0775_1
J-PDX0775_2	J-PDX0775	J-PDX0775_2
J-PDX0804_1	J-PDX0804	J-PDX0804_1
J-PDX0804_2	J-PDX0804	J-PDX0804_2
J-PDX0826_1	J-PDX0826	J-PDX0826_1
J-PDX0826_2	J-PDX0826	J-PDX0826_2
J-PDX0845_1	J-PDX0845	J-PDX0845_1
J-PDX0845_2	J-PDX0845	J-PDX0845_2
J-PDX0850_1	J-PDX0850	J-PDX0850_1
J-PDX0850_2	J-PDX0850	J-PDX0850_2
J-PDX0865_1	J-PDX0865	J-PDX0865_1
J-PDX0865_2	J-PDX0865	J-PDX0865_2
J-PDX0919_1	J-PDX0919	J-PDX0919_1
J-PDX0919_2	J-PDX0919	J-PDX0919_2
J-PDX0927_1	J-PDX0927	J-PDX0927_1
J-PDX0927_2	J-PDX0927	J-PDX0927_2
J-PDX0940_1	J-PDX0940	J-PDX0940_1
J-PDX0940_2	J-PDX0940	J-PDX0940_2
J-PDX0958_1	J-PDX0958	J-PDX0958_1
J-PDX0958_2	J-PDX0958	J-PDX0958_2
J-PDX0961_1	J-PDX0961	J-PDX0961_1
J-PDX0961_2	J-PDX0961	J-PDX0961_2
J-PDX0987_1	J-PDX0987	J-PDX0987_1
J-PDX0987_2	J-PDX0987	J-PDX0987_2
J-PDX1002_1	J-PDX1002	J-PDX1002_1
J-PDX1002_2	J-PDX1002	J-PDX1002_2
J-PDX1037_1	J-PDX1037	J-PDX1037_1
J-PDX1037_2	J-PDX1037	J-PDX1037_2
J-PDX1047_1	J-PDX1047	J-PDX1047_1
J-PDX1047_2	J-PDX1047	J-PDX1047_2
J-PDX1107_1	J-PDX1107	J-PDX1107_1
J-PDX1107_2	J-PDX1107	J-PDX1107_2
J-PDX1249_1	J-PDX1249	J-PDX1249_1
J-PDX1249_2	J-PDX1249	J-PDX1249_2
